season,team,winrate
1950,Boston Bruins,0.4107142857142857
1950,Detroit Red Wings,0.6551724137931034
1950,New York Rangers,0.47540983606557374
1950,Montreal Canadiens,0.5660377358490566
1950,Chicago Blackhawks,0.3709677419354839
1951,Toronto Maple Leafs,0.711864406779661
1951,Boston Bruins,0.42592592592592593
1951,Detroit Red Wings,0.7627118644067796
1951,New York Rangers,0.4117647058823529
1951,Montreal Canadiens,0.45614035087719296
1951,Chicago Blackhawks,0.22580645161290322
1952,Toronto Maple Leafs,0.5357142857142857
1952,Boston Bruins,0.4642857142857143
1952,Detroit Red Wings,0.75
1952,New York Rangers,0.4067796610169492
1952,Montreal Canadiens,0.5645161290322581
1952,Chicago Blackhawks,0.2857142857142857
1953,Toronto Maple Leafs,0.4745762711864407
1953,Boston Bruins,0.4915254237288136
1953,Detroit Red Wings,0.6851851851851852
1953,New York Rangers,0.32142857142857145
1953,Montreal Canadiens,0.5471698113207547
1953,Chicago Blackhawks,0.49122807017543857
1954,Toronto Maple Leafs,0.5689655172413793
1954,Boston Bruins,0.532258064516129
1954,Detroit Red Wings,0.6551724137931034
1954,New York Rangers,0.4838709677419355
1954,Montreal Canadiens,0.5901639344262295
1954,Chicago Blackhawks,0.2
1955,Toronto Maple Leafs,0.5
1955,Boston Bruins,0.47058823529411764
1955,Detroit Red Wings,0.7049180327868853
1955,New York Rangers,0.3333333333333333
1955,Montreal Canadiens,0.6885245901639344
1955,Chicago Blackhawks,0.2545454545454545
1956,Toronto Maple Leafs,0.423728813559322
1956,Boston Bruins,0.4067796610169492
1956,Detroit Red Wings,0.5535714285714286
1956,New York Rangers,0.532258064516129
1956,Montreal Canadiens,0.7419354838709677
1956,Chicago Blackhawks,0.3333333333333333
1957,Toronto Maple Leafs,0.38596491228070173
1957,Boston Bruins,0.5833333333333334
1957,Detroit Red Wings,0.65
1957,New York Rangers,0.46551724137931033
1957,Montreal Canadiens,0.6
1957,Chicago Blackhawks,0.2982456140350877
1958,Toronto Maple Leafs,0.36065573770491804
1958,Boston Bruins,0.49122807017543857
1958,Detroit Red Wings,0.5
1958,New York Rangers,0.559322033898305
1958,Montreal Canadiens,0.7096774193548387
1958,Chicago Blackhawks,0.38461538461538464
1959,Toronto Maple Leafs,0.45901639344262296
1959,Boston Bruins,0.5238095238095238
1959,Detroit Red Wings,0.40625
1959,New York Rangers,0.45
1959,Montreal Canadiens,0.6779661016949152
1959,Chicago Blackhawks,0.4915254237288136
1960,Toronto Maple Leafs,0.5714285714285714
1960,Boston Bruins,0.453125
1960,Detroit Red Wings,0.47368421052631576
1960,New York Rangers,0.3157894736842105
1960,Montreal Canadiens,0.6833333333333333
1960,Chicago Blackhawks,0.4915254237288136
1961,Toronto Maple Leafs,0.6666666666666666
1961,Boston Bruins,0.2711864406779661
1961,Detroit Red Wings,0.4642857142857143
1961,New York Rangers,0.3709677419354839
1961,Montreal Canadiens,0.6774193548387096
1961,Chicago Blackhawks,0.5454545454545454
1962,Toronto Maple Leafs,0.6229508196721312
1962,Boston Bruins,0.25
1962,Detroit Red Wings,0.41379310344827586
1962,New York Rangers,0.45
1962,Montreal Canadiens,0.7413793103448276
1962,Chicago Blackhawks,0.5423728813559322
1963,Toronto Maple Leafs,0.6
1963,Boston Bruins,0.2727272727272727
1963,Detroit Red Wings,0.559322033898305
1963,New York Rangers,0.38333333333333336
