date,season,location,team1,team2,score1,score2,result,elo_prob1
1923-10-28,1923,H,MIL,SLA,6,0,1.0,0.7186509262754998
1923-10-28,1923,H,CIB,OOR,27,0,1.0,0.569112935268873
1923-10-28,1923,H,DUL,MNN,9,0,1.0,0.5263057489772132
1923-10-28,1923,H,ARI,DAY,13,3,1.0,0.7526119961133647
1923-10-28,1923,H,CHI,BFF,18,3,1.0,0.6025248602776917
1923-10-28,1923,H,CBD,AKR,7,3,1.0,0.8541248379986872
1923-10-28,1923,H,TOL,COL,0,3,0.0,0.7772388303612096
1923-10-28,1923,H,GB,RAC,3,24,0.0,0.6422621837380503
1923-11-04,1923,H,CHI,OOR,26,0,1.0,0.8877076977687421
1923-11-04,1923,H,RII,MIL,3,14,0.0,0.7956930783545906
1923-11-04,1923,H,CIB,BFF,0,0,0.5,0.3091423829546729
1923-11-04,1923,H,ARI,CBD,3,7,0.0,0.4657351992903327
1923-11-04,1923,H,SLA,GB,0,3,0.0,0.3379710398150379
1923-11-04,1923,H,MNN,RAC,13,6,1.0,0.4269897167006546
1923-11-11,1923,H,RAC,GB,0,16,0.0,0.6108171345609864
1923-11-11,1923,H,CIB,DAY,0,0,0.5,0.4507310912537601
1923-11-11,1923,H,BFF,CBD,3,3,0.5,0.366506757613889
1923-11-11,1923,H,ARI,HAM,6,0,1.0,0.8028681747542641
1923-11-11,1923,H,MNN,RII,6,6,0.5,0.4377447914497351
1923-11-11,1923,H,COL,TOL,16,0,1.0,0.4437282079782035
1923-11-11,1923,H,CHI,AKR,20,6,1.0,0.7918940187107069
1923-11-11,1923,H,SLA,OOR,14,7,1.0,0.5489824388453522
1923-11-11,1923,H,MIL,DUL,6,3,1.0,0.6645167034071536
1923-11-18,1923,H,CIB,COL,9,3,1.0,0.4773638031650862
1923-11-18,1923,H,ARI,DUL,10,0,1.0,0.8337757890577747
1923-11-18,1923,H,BFF,DAY,3,0,1.0,0.7202415691792498
1923-11-18,1923,H,CHI,RII,7,3,1.0,0.7161452735708425
1923-11-18,1923,H,CBD,OOR,41,0,1.0,0.941993343446732
1923-11-18,1923,H,MIL,GB,7,10,0.0,0.5141542373457232
1923-11-24,1923,H,SLA,MIL,0,17,0.0,0.3834116554212643
1923-11-24,1923,H,RCH,TOL,6,12,0.0,0.4852820996281857
1923-11-25,1923,H,ARI,RAC,4,10,0.0,0.7792822405041661
1923-11-25,1923,H,BFF,TOL,3,3,0.5,0.6765738112088698
1923-11-25,1923,H,GB,DUL,10,0,1.0,0.7730773085251652
1923-11-25,1923,H,CIB,CBD,10,46,0.0,0.178145527308223
1923-11-25,1923,H,CHI,HAM,14,7,1.0,0.8416044356047725
1923-11-25,1923,H,RII,MNN,6,6,0.5,0.7166271408061788
