date,season,location,team1,team2,score1,score2,result
1925-11-08,1925,H,CBD,CIB,6,0,1.0
1925-11-08,1925,H,PRV,BFF,10,0,1.0
1925-11-08,1925,H,PTB,AKR,21,0,1.0
1925-11-11,1925,H,NYG,RCH,13,0,1.0
1925-11-11,1925,H,DPN,CIB,22,13,1.0
1925-11-14,1925,H,FYJ,PTB,20,0,1.0
1925-11-15,1925,H,CHI,DPN,14,0,1.0
1925-11-15,1925,H,GB,DAY,7,0,1.0
1925-11-15,1925,H,ARI,BFF,23,6,1.0
1925-11-15,1925,H,PTB,RCH,14,6,1.0
1925-11-15,1925,H,NYG,PRV,13,12,1.0
1925-11-15,1925,H,RII,KCB,35,12,1.0
1925-11-21,1925,H,FYJ,CIB,0,14,0.0
1925-11-22,1925,H,DPN,RCH,20,0,1.0
1925-11-22,1925,H,RII,MIL,40,7,1.0
1925-11-22,1925,H,CHI,GB,21,0,1.0
1925-11-22,1925,H,PRV,FYJ,20,7,1.0
1925-11-22,1925,H,ARI,DAY,14,0,1.0
1925-11-22,1925,H,CBD,COL,6,0,1.0
1925-11-22,1925,H,PTB,CIB,24,6,1.0
1925-11-22,1925,H,NYG,KCB,9,3,1.0
1925-11-26,1925,H,CIB,KCB,0,17,0.0
1925-11-26,1925,H,PTB,GB,31,0,1.0
1925-11-26,1925,H,CHI,ARI,0,0,0.5
1925-11-26,1925,H,DPN,RII,3,6,0.0
1925-11-28,1925,H,FYJ,GB,13,7,1.0
1925-11-29,1925,H,CHI,COL,14,13,1.0
1925-11-29,1925,H,PRV,CIB,7,7,0.5
1925-11-29,1925,H,NYG,DAY,23,0,1.0
1925-11-29,1925,H,ARI,RII,7,0,1.0
1925-11-29,1925,H,PTB,FYJ,49,0,1.0
1925-12-05,1925,H,CHI,FYJ,14,7,1.0
1925-12-06,1925,H,PRV,GB,10,13,0.0
1925-12-06,1925,H,ARI,PTB,7,21,0.0
1925-12-06,1925,H,NYG,CHI,7,19,0.0
1925-12-06,1925,H,CIB,CBD,6,0,1.0
1925-12-09,1925,H,PRV,CHI,9,6,1.0
1925-12-10,1925,H,ARI,MIL,59,0,1.0
1925-12-12,1925,H,ARI,HAM,13,0,1.0
1925-12-12,1925,H,DPN,CHI,21,0,1.0
1925-12-12,1925,H,CIB,FYJ,3,0,1.0
1925-12-13,1925,H,PRV,FYJ,6,14,0.0
1925-12-13,1925,H,NYG,CHI,9,0,1.0
1925-12-20,1925,H,CIB,FYJ,7,13,0.0
