date,team1,team2,moneyline1,moneyline2,score,score2,implied_prob,result,accuracy
2019-11-03,JAC,HOU,-118.0,-102.0,3.0,26.0,0.5173641257162702,0.0,0.0
2019-11-03,MIA,NYJ,159.0,-184.0,26.0,18.0,0.3734090670032608,1.0,0.0
2019-11-03,PIT,IND,-122.0,102.0,26.0,24.0,0.5260865852617198,1.0,1.0
2019-11-03,PHI,CHI,-248.0,201.0,22.0,14.0,0.6820407864922156,1.0,1.0
2019-11-03,KC,MIN,202.0,-246.0,26.0,23.0,0.31774602358299964,1.0,0.0
2019-11-03,BUF,WAS,-573.0,430.0,24.0,9.0,0.818593493086067,1.0,1.0
2019-11-03,CAR,TEN,-187.0,161.0,30.0,20.0,0.6297108648251125,1.0,1.0
2019-11-03,OAK,DET,-145.0,124.0,31.0,24.0,0.5700245700245701,1.0,1.0
2019-11-03,SEA,TB,-220.0,182.0,40.0,34.0,0.659719268396427,1.0,1.0
2019-11-03,DEN,CLE,172.0,-203.0,24.0,19.0,0.35431965947892796,1.0,0.0
2019-11-03,LAC,GB,180.0,-218.0,26.0,11.0,0.3425247738043946,1.0,0.0
2019-11-03,BAL,NE,141.0,-164.0,37.0,20.0,0.40046113706692554,1.0,0.0
2019-11-04,NYG,DAL,250.0,-315.0,18.0,37.0,0.27347611202635913,0.0,1.0
2019-11-07,OAK,LAC,101.0,-122.0,26.0,24.0,0.475150892513163,1.0,0.0
2019-11-10,CIN,BAL,435.0,-587.0,13.0,49.0,0.17949287384551071,0.0,1.0
2019-11-10,CLE,BUF,-165.0,142.0,19.0,16.0,0.6010838476591902,1.0,1.0
2019-11-10,NO,ATL,-905.0,594.0,9.0,26.0,0.8620585530559863,0.0,0.0
2019-11-10,NYJ,NYG,132.0,-153.0,34.0,27.0,0.416145799065728,1.0,0.0
2019-11-10,TB,ARI,-245.0,202.0,30.0,27.0,0.6819983408609088,1.0,1.0
2019-11-10,TEN,KC,208.0,-252.0,35.0,32.0,0.31201248049922004,1.0,0.0
2019-11-10,CHI,DET,-299.0,244.0,20.0,13.0,0.7205021154977724,1.0,1.0
2019-11-10,IND,MIA,-602.0,443.0,12.0,16.0,0.8232121001495898,0.0,0.0
2019-11-10,GB,CAR,-241.0,197.0,24.0,16.0,0.677318621838243,1.0,1.0
2019-11-10,PIT,LAR,186.0,-226.0,17.0,12.0,0.335266773622938,1.0,0.0
2019-11-10,DAL,MIN,-180.0,156.0,24.0,28.0,0.6220302375809935,0.0,0.0
2019-11-11,SF,SEA,-260.0,213.0,24.0,27.0,0.6933037996251491,0.0,0.0
2019-11-14,CLE,PIT,-159.0,137.0,21.0,7.0,0.5926584149851376,1.0,1.0
2019-11-17,MIN,DEN,-496.0,378.0,27.0,23.0,0.7991155692174945,1.0,1.0
2019-11-17,BAL,HOU,-234.0,190.0,41.0,7.0,0.6701560339719534,1.0,1.0
2019-11-17,MIA,BUF,273.0,-341.0,20.0,37.0,0.25745360289095287,0.0,1.0
2019-11-17,TB,NO,192.0,-235.0,17.0,34.0,0.3280454367410889,0.0,1.0
2019-11-17,WAS,NYJ,-126.0,106.0,17.0,34.0,0.5345580360820497,0.0,0.0
2019-11-17,DET,DAL,298.0,-376.0,27.0,35.0,0.24132057105775462,0.0,1.0
2019-11-17,IND,JAC,-140.0,119.0,33.0,13.0,0.5609220636663008,1.0,1.0
2019-11-17,CAR,ATL,-203.0,171.0,3.0,29.0,0.6448372463751129,0.0,0.0
2019-11-17,SF,ARI,-482.0,370.0,36.0,26.0,0.795603006251317,1.0,1.0
2019-11-17,OAK,CIN,-742.0,515.0,17.0,10.0,0.8442269624257673,1.0,1.0
2019-11-17,PHI,NE,186.0,-226.0,10.0,17.0,0.335266773622938,0.0,1.0
2019-11-17,LAR,CHI,-253.0,208.0,17.0,7.0,0.6882286441037238,1.0,1.0
2019-11-18,LAC,KC,215.0,-259.0,17.0,24.0,0.305570923947738,0.0,1.0
2019-11-21,HOU,IND,-194.0,167.0,20.0,17.0,0.6379221163082835,1.0,1.0
2019-11-24,CLE,MIA,-575.0,426.0,41.0,24.0,0.817542911204217,1.0,1.0
2019-11-24,BUF,DEN,-206.0,173.0,20.0,3.0,0.647619705658813,1.0,1.0
2019-11-24,NYJ,OAK,159.0,-185.0,34.0,3.0,0.3729634234116338,1.0,0.0
2019-11-24,NO,CAR,-519.0,394.0,34.0,31.0,0.8055208208969292,1.0,1.0
2019-11-24,ATL,TB,-180.0,154.0,22.0,35.0,0.6201844818231146,0.0,0.0
2019-11-24,PHI,SEA,103.0,-124.0,9.0,17.0,0.4708652148322543,0.0,1.0
2019-11-24,WAS,DET,171.0,-203.0,19.0,16.0,0.35516275362488714,1.0,0.0
2019-11-24,CIN,PIT,216.0,-265.0,10.0,16.0,0.3035595475715237,0.0,1.0
2019-11-24,CHI,NYG,-268.0,219.0,19.0,14.0,0.6990808883655513,1.0,1.0
2019-11-24,TEN,JAC,-217.0,180.0,42.0,20.0,0.6571490374215877,1.0,1.0
2019-11-24,NE,DAL,-243.0,201.0,13.0,9.0,0.6807609616261646,1.0,1.0
2019-11-24,SF,GB,-171.0,147.0,37.0,8.0,0.6091552850570403,1.0,1.0
2019-11-25,LAR,BAL,149.0,-174.0,6.0,45.0,0.3874105703701608,0.0,1.0
2019-11-28,DET,CHI,212.0,-258.0,20.0,24.0,0.3078351791979088,0.0,1.0
2019-11-28,DAL,BUF,-303.0,245.0,15.0,26.0,0.7217523388683675,0.0,0.0
2019-11-28,ATL,NO,280.0,-352.0,18.0,26.0,0.25257040679481446,0.0,1.0
2019-12-01,NYG,GB,250.0,-309.0,13.0,31.0,0.27440456222744036,0.0,1.0
2019-12-01,MIA,PHI,400.0,-530.0,37.0,31.0,0.19207317073170738,1.0,0.0
2019-12-01,IND,TEN,-104.0,-116.0,17.0,31.0,0.48699271592091575,0.0,1.0
2019-12-01,CIN,NYJ,120.0,-141.0,22.0,6.0,0.4372278664731495,1.0,0.0
2019-12-01,BAL,SF,-250.0,205.0,20.0,17.0,0.6853932584269664,1.0,1.0
2019-12-01,PIT,CLE,101.0,-121.0,20.0,13.0,0.47607763727623265,1.0,0.0
