date,season,location,team1,team2,score1,score2,result,implied_probability,accuracy
1922-10-01,1922,H,RAC,CHI,0,6,0.0,0.44954128440366975,1.0
1922-10-08,1922,H,OOR,COL,20,6,1.0,0.784313725490196,1.0
1922-10-08,1922,H,DAY,CBD,0,0,0.5,0.3773584905660377,0.5
1922-10-08,1922,H,GB,RAC,6,10,0.0,0.48780487804878053,1.0
1922-10-08,1922,H,TOL,MIL,12,12,0.5,0.64,0.5
1922-10-08,1922,H,RII,CHI,6,10,0.0,0.4666666666666666,1.0
1922-10-12,1922,H,AKR,RCH,13,13,0.5,0.7058823529411765,0.5
1922-10-15,1922,H,CHI,RCH,7,0,1.0,0.8108108108108109,1.0
1922-10-15,1922,H,MIL,RAC,20,0,1.0,0.3913043478260869,0.0
1922-10-15,1922,H,CBD,OOR,14,0,1.0,0.7159763313609467,1.0
1922-10-15,1922,H,DAY,MNN,17,0,1.0,0.6250000000000001,1.0
1922-10-15,1922,H,TOL,HAM,14,0,1.0,0.823529411764706,1.0
1922-10-15,1922,H,ARI,GB,16,3,1.0,0.5547945205479452,1.0
1922-10-15,1922,H,RII,ECG,60,0,1.0,0.7575757575757576,1.0
1922-10-15,1922,H,BFF,COL,19,0,1.0,0.8450704225352113,1.0
1922-10-22,1922,H,CHI,BFF,7,0,1.0,0.5670103092783505,1.0
1922-10-22,1922,H,AKR,CBD,0,22,0.0,0.3037974683544304,1.0
1922-10-22,1922,H,RAC,TOL,0,7,0.0,0.4666666666666667,1.0
1922-10-22,1922,H,ARI,MNN,3,0,1.0,0.675,1.0
1922-10-22,1922,H,DAY,HAM,20,0,1.0,0.7954545454545455,1.0
1922-10-22,1922,H,MIL,GB,0,0,0.5,0.40298507462686567,0.5
1922-10-22,1922,H,RII,RCH,26,0,1.0,0.7894736842105263,1.0
1922-10-29,1922,H,DAY,BFF,0,7,0.0,0.5045871559633028,0.0
1922-10-29,1922,H,ARI,COL,37,6,1.0,0.8737864077669903,1.0
1922-10-29,1922,H,GB,RII,0,0,0.5,0.47058823529411764,0.5
1922-10-29,1922,H,RAC,RCH,9,0,1.0,0.7777777777777778,1.0
1922-10-29,1922,H,AKR,OOR,62,0,1.0,0.5238095238095238,1.0
1922-10-29,1922,H,TOL,LOU,39,0,1.0,0.6666666666666666,1.0
1922-10-29,1922,H,MIL,HAM,0,0,0.5,0.7241379310344829,0.5
1922-10-29,1922,H,CHI,CBD,6,7,0.0,0.43795620437956206,1.0
1922-11-05,1922,H,AKR,HAM,22,0,1.0,0.736842105263158,1.0
1922-11-05,1922,H,ARI,BFF,9,7,1.0,0.5593220338983051,1.0
1922-11-05,1922,H,GB,COL,3,0,1.0,0.8474576271186441,1.0
1922-11-05,1922,H,CHI,DAY,9,0,1.0,0.5625,1.0
1922-11-05,1922,H,RAC,LOU,57,0,1.0,0.6363636363636364,1.0
1922-11-05,1922,H,MNN,OOR,13,6,1.0,0.4782608695652174,0.0
1922-11-05,1922,H,CBD,TOL,0,0,0.5,0.5789473684210527,0.5
1922-11-11,1922,H,RAC,COL,34,0,1.0,0.8536585365853658,1.0
1922-11-12,1922,H,RII,DAY,43,0,1.0,0.5294117647058824,1.0
1922-11-12,1922,H,CBD,BFF,3,0,1.0,0.6269430051813472,1.0
1922-11-12,1922,H,LOU,ECG,13,6,1.0,0.625,1.0
1922-11-12,1922,H,GB,MNN,14,6,1.0,0.6250000000000001,1.0
1922-11-12,1922,H,CHI,OOR,33,6,1.0,0.6626506024096386,1.0
1922-11-12,1922,H,ARI,AKR,7,0,1.0,0.6338028169014084,1.0
1922-11-19,1922,H,CHI,RII,3,0,1.0,0.5333333333333333,1.0
1922-11-19,1922,H,ARI,CBD,0,7,0.0,0.43027888446215135,1.0
1922-11-19,1922,H,BFF,AKR,3,3,0.5,0.5769230769230769,0.5
1922-11-19,1922,H,MIL,OOR,13,0,1.0,0.5076923076923078,1.0
1922-11-19,1922,H,RAC,GB,3,3,0.5,0.5121951219512195,0.5
1922-11-26,1922,H,RAC,HAM,6,0,1.0,0.8032786885245903,1.0
1922-11-26,1922,H,TOL,COL,7,6,1.0,0.8695652173913043,1.0
1922-11-26,1922,H,CHI,AKR,20,10,1.0,0.641025641025641,1.0
1922-11-26,1922,H,BFF,OOR,7,19,0.0,0.6000000000000001,0.0
1922-11-26,1922,H,GB,MIL,13,0,1.0,0.5970149253731344,1.0
1922-11-26,1922,H,CBD,ARI,20,3,1.0,0.5697211155378485,1.0
1922-11-30,1922,H,ARI,CHI,6,0,1.0,0.4921875,0.0
1922-11-30,1922,H,CBD,AKR,14,0,1.0,0.6962025316455696,1.0
1922-11-30,1922,H,RAC,MIL,3,0,1.0,0.6086956521739131,1.0
1922-11-30,1922,H,COL,OOR,6,18,0.0,0.21568627450980393,1.0
1922-11-30,1922,H,RCH,BFF,0,21,0.0,0.23404255319148928,1.0
1922-12-03,1922,H,RAC,GB,0,14,0.0,0.5121951219512195,0.0
1922-12-03,1922,H,BFF,AKR,16,0,1.0,0.5769230769230769,1.0
1922-12-03,1922,H,ARI,DAY,3,7,0.0,0.5547945205479452,0.0
1922-12-03,1922,H,CHI,TOL,22,0,1.0,0.5172413793103449,1.0
1922-12-03,1922,H,CBD,MIL,40,6,1.0,0.7096774193548387,1.0
1922-12-10,1922,H,TOL,CBD,0,19,0.0,0.42105263157894735,1.0
1922-12-10,1922,H,ARI,CHI,9,0,1.0,0.4921875,0.0
1923-09-30,1923,H,MIL,OOR,13,2,1.0,0.8253968253968255,1.0
1923-09-30,1923,H,RAC,TOL,7,7,0.5,0.5,0.5
1923-09-30,1923,H,GB,MNN,12,0,1.0,0.6857142857142857,1.0
1923-09-30,1923,H,DUL,AKR,10,7,1.0,0.7142857142857143,1.0
1923-09-30,1923,H,ARI,BFF,3,0,1.0,0.5409836065573771,1.0
1923-09-30,1923,H,RII,CHI,3,0,1.0,0.35779816513761464,0.0
1923-09-30,1923,H,DAY,COL,7,6,1.0,0.2894736842105263,0.0
1923-09-30,1923,H,CBD,HAM,17,0,1.0,0.7868852459016393,1.0
1923-10-07,1923,H,HAM,DAY,7,0,1.0,0.5294117647058824,1.0
1923-10-07,1923,H,MNN,DUL,0,10,0.0,0.375,1.0
1923-10-07,1923,H,CBD,LOU,37,0,1.0,0.821917808219178,1.0
1923-10-07,1923,H,ARI,RCH,60,0,1.0,0.7941176470588236,1.0
1923-10-07,1923,H,GB,SLA,0,0,0.5,0.7179487179487178,0.5
1923-10-07,1923,H,TOL,OOR,7,0,1.0,0.7647058823529413,1.0
1923-10-07,1923,H,BFF,AKR,9,0,1.0,0.7105263157894737,1.0
1923-10-07,1923,H,RAC,CHI,0,3,0.0,0.393939393939394,1.0
1923-10-07,1923,H,RII,CIB,0,0,0.5,0.3913043478260869,0.5
1923-10-07,1923,H,MIL,COL,0,0,0.5,0.5714285714285715,0.5
1923-10-14,1923,H,RII,RCH,56,0,1.0,0.72,1.0
1923-10-14,1923,H,ARI,AKR,19,0,1.0,0.7431192660550459,1.0
1923-10-14,1923,H,COL,BFF,0,3,0.0,0.5,0.5
1923-10-14,1923,H,GB,CHI,0,3,0.0,0.4859813084112149,1.0
1923-10-14,1923,H,CBD,DAY,30,0,1.0,0.8059701492537313,1.0
1923-10-14,1923,H,SLA,HAM,0,0,0.5,0.5333333333333333,0.5
1923-10-14,1923,H,MIL,RAC,7,7,0.5,0.5925925925925926,0.5
1923-10-14,1923,H,MNN,OOR,23,0,1.0,0.6842105263157895,1.0
1923-10-21,1923,H,ARI,MNN,9,0,1.0,0.6585365853658537,1.0
1923-10-21,1923,H,DUL,HAM,3,0,1.0,0.6896551724137931,1.0
1923-10-21,1923,H,COL,LOU,34,0,1.0,0.7317073170731707,1.0
1923-10-21,1923,H,TOL,DAY,6,3,1.0,0.6923076923076923,1.0
1923-10-21,1923,H,CHI,CBD,0,6,0.0,0.45454545454545453,1.0
1923-10-21,1923,H,CIB,SLA,6,0,1.0,0.7,1.0
1923-10-21,1923,H,BFF,OOR,57,0,1.0,0.7800000000000001,1.0
1923-10-21,1923,H,RAC,AKR,9,7,1.0,0.6923076923076923,1.0
1923-10-21,1923,H,GB,MIL,12,0,1.0,0.5,0.5
1923-10-28,1923,H,MIL,SLA,6,0,1.0,0.7179487179487178,1.0
1923-10-28,1923,H,CIB,OOR,27,0,1.0,0.8125,1.0
1923-10-28,1923,H,DUL,MNN,9,0,1.0,0.6250000000000001,1.0
1923-10-28,1923,H,ARI,DAY,13,3,1.0,0.7431192660550459,1.0
1923-10-28,1923,H,CHI,BFF,18,3,1.0,0.5851063829787235,1.0
1923-10-28,1923,H,CBD,AKR,7,3,1.0,0.8059701492537313,1.0
1923-10-28,1923,H,TOL,COL,0,3,0.0,0.4782608695652174,1.0
1923-10-28,1923,H,GB,RAC,3,24,0.0,0.5925925925925926,0.0
1923-11-04,1923,H,CHI,OOR,26,0,1.0,0.8333333333333334,1.0
1923-11-04,1923,H,RII,MIL,3,14,0.0,0.3707865168539325,1.0
1923-11-04,1923,H,CIB,BFF,0,0,0.5,0.55,0.5
1923-11-04,1923,H,ARI,CBD,3,7,0.0,0.4105263157894737,1.0
1923-11-04,1923,H,SLA,GB,0,3,0.0,0.282051282051282,1.0
1923-11-04,1923,H,MNN,RAC,13,6,1.0,0.4,0.0
1923-11-11,1923,H,RAC,GB,0,16,0.0,0.4074074074074074,1.0
1923-11-11,1923,H,CIB,DAY,0,0,0.5,0.75,0.5
1923-11-11,1923,H,BFF,CBD,3,3,0.5,0.37142857142857133,0.5
1923-11-11,1923,H,ARI,HAM,6,0,1.0,0.72,1.0
1923-11-11,1923,H,MNN,RII,6,6,0.5,0.4375,0.5
1923-11-11,1923,H,COL,TOL,16,0,1.0,0.5217391304347826,1.0
1923-11-11,1923,H,CHI,AKR,20,6,1.0,0.7758620689655172,1.0
1923-11-11,1923,H,SLA,OOR,14,7,1.0,0.65,1.0
1923-11-11,1923,H,MIL,DUL,6,3,1.0,0.5669291338582677,1.0
1923-11-18,1923,H,CIB,COL,9,3,1.0,0.55,1.0
1923-11-18,1923,H,ARI,DUL,10,0,1.0,0.5364238410596026,1.0
1923-11-18,1923,H,BFF,DAY,3,0,1.0,0.7105263157894737,1.0
1923-11-18,1923,H,CHI,RII,7,3,1.0,0.6422018348623854,1.0
1923-11-18,1923,H,CBD,OOR,41,0,1.0,0.8571428571428572,1.0
1923-11-18,1923,H,MIL,GB,7,10,0.0,0.5,0.5
1923-11-24,1923,H,SLA,MIL,0,17,0.0,0.282051282051282,1.0
1923-11-24,1923,H,RCH,TOL,6,12,0.0,0.24999999999999992,1.0
