date,team1,team2,moneyline1,moneyline2,implied_prob
2020-09-10,KC,HOU,340,-432,0.21867806642551793
2020-09-13,DET,CHI,116,-137,0.44471965773474437
2020-09-13,JAC,IND,-331,264,0.7365267996870108
2020-09-13,ATL,SEA,-101,-118,0.4814150778380269
2020-09-13,MIN,GB,105,-125,0.4675324675324675
2020-09-13,WAS,PHI,-250,207,0.6868008948545861
2020-09-13,BUF,NYJ,241,-295,0.2819515328883972
2020-09-13,NE,MIA,284,-356,0.25013164823591366
2020-09-13,BAL,CLE,271,-342,0.2583556423235641
2020-09-13,CAR,LV,-153,132,0.583854200934272
2020-09-13,CIN,LAC,-143,122,0.5664275773471791
2020-09-13,SF,ARI,250,-311,0.2740913637879293
2020-09-13,NO,TB,165,-191,0.3650504923791006
2020-09-13,LAR,DAL,-109,-110,0.49891020052310364
2020-09-14,NYG,PIT,-251,213,0.691192384505072
2020-09-14,DEN,TEN,-177,154,0.6187618706818244
2020-09-17,CLE,CIN,206,-249,0.3141483788503429
2020-09-20,IND,MIN,156,-179,0.37843850035266674
2020-09-20,PIT,DEN,240,-278,0.28567110036275695
2020-09-20,MIA,BUF,-244,205,0.6838816394045212
2020-09-20,TB,CAR,293,-365,0.24480770749427466
2020-09-20,TEN,JAC,258,-320,0.2682677567705672
2020-09-20,CHI,NYG,195,-233,0.32635860244033904
2020-09-20,NYJ,SF,-323,260,0.7332576617480137
2020-09-20,PHI,LAR,110,-130,0.4572564612326044
2020-09-20,GB,DET,242,-296,0.28118609406952966
2020-09-20,DAL,ATL,130,-149,0.42082136217677873
2020-09-20,ARI,WAS,270,-333,0.26004444177526875
2020-09-20,LAC,KC,-412,326,0.7741628144959243
2020-09-20,HOU,BAL,-345,285,0.7490483575355985
2020-09-20,SEA,NE,180,-208,0.34591194968553457
2020-09-21,LV,NO,-205,173,0.6472561151911178
2020-09-24,JAC,MIA,124,-145,0.42997542997543003
2020-09-27,MIN,TEN,-152,131,0.5821727019498607
2020-09-27,CLE,WAS,280,-345,0.25341685649202733
2020-09-27,NYG,SF,-161,139,0.5958438501680113
2020-09-27,PHI,CIN,200,-238,0.3212927756653992
2020-09-27,ATL,CHI,117,-136,0.4443440277150173
2020-09-27,BUF,LAR,111,-130,0.4560777315090225
2020-09-27,PIT,HOU,180,-208,0.34591194968553457
2020-09-27,NE,LV,270,-333,0.26004444177526875
2020-09-27,LAC,CAR,235,-278,0.28870388757351256
2020-09-27,IND,NYJ,475,-667,0.1666576131240154
2020-09-27,DEN,TB,-267,222,0.7008331023688802
2020-09-27,SEA,DAL,200,-238,0.3212927756653992
2020-09-27,ARI,DET,200,-238,0.3212927756653992
2020-09-27,NO,GB,151,-173,0.386013036777286
2020-09-28,BAL,KC,155,-179,0.3793595757699368
2020-10-01,NYJ,DEN,-101,-118,0.4814150778380269
2020-10-04,TB,LAC,292,-362,0.24560881214647218
2020-10-04,DET,NO,-160,138,0.5942571785268415
2020-10-04,CAR,ARI,-160,140,0.5962732919254659
2020-10-04,WAS,BAL,-1073,699,0.8796462646735622
2020-10-04,HOU,MIN,155,-175,0.38128249566724437
2020-10-04,CIN,JAC,100,-120,0.4782608695652174
2020-10-04,MIA,SEA,-224,186,0.6641234035495107
2020-10-04,DAL,CLE,154,-178,0.3807593272338794
2020-10-04,LAR,NYG,639,-941,0.13020654184683156
2020-10-04,LV,BUF,-175,155,0.6187175043327556
2020-10-04,CHI,IND,-185,165,0.6323766526926797
2020-10-04,SF,PHI,287,-358,0.24844585724669913
2020-10-05,KC,NE,475,-650,0.1671309192200557
2020-10-05,GB,ATL,200,-240,0.32075471698113206
2020-10-08,CHI,TB,-200,175,0.6470588235294118
2020-10-11,KC,LV,425,-550,0.18374558303886926
2020-10-11,PIT,PHI,295,-355,0.24498586620002696
2020-10-11,BAL,CIN,550,-800,0.1475409836065574
2020-10-11,ATL,CAR,115,-135,0.447405997144217
2020-10-11,NYJ,ARI,-320,260,0.7328244274809161
2020-10-11,WAS,LAR,-345,285,0.7490483575355985
2020-10-11,HOU,JAC,225,-265,0.2976554536187564
2020-10-11,SF,MIA,330,-410,0.22437307523097227
2020-10-11,DAL,NYG,290,-350,0.24793388429752067
2020-10-11,CLE,IND,-105,-115,0.4891657638136511
2020-10-11,SEA,MIN,250,-300,0.27586206896551724
2020-10-12,NO,LAC,275,-342,0.2563061757031023
2020-10-13,TEN,BUF,-160,140,0.5962732919254659
2020-10-18,NYG,WAS,100,-120,0.4782608695652174
2020-10-18,CAR,CHI,110,-130,0.4572564612326044
2020-10-18,MIN,ATL,165,-185,0.3676233473073202
2020-10-18,TEN,HOU,170,-190,0.361145703611457
2020-10-18,PHI,BAL,-475,380,0.7985989492119089
2020-10-18,NE,DEN,310,-380,0.2355250245338567
2020-10-18,IND,CIN,300,-360,0.24210526315789477
2020-10-18,JAC,DET,-160,140,0.5962732919254659
2020-10-18,PIT,CLE,140,-160,0.40372670807453415
2020-10-18,MIA,NYJ,320,-400,0.22935779816513757
2020-10-18,TB,GB,-160,140,0.5962732919254659
2020-10-18,SF,LAR,-130,110,0.5427435387673957
2020-10-19,BUF,KC,-240,200,0.6792452830188679
2020-10-19,DAL,ARI,100,-120,0.4782608695652174
2020-10-22,PHI,NYG,200,-238,0.3212927756653992
2020-10-25,TEN,PIT,100,-120,0.4782608695652174
2020-10-25,NYJ,BUF,-430,350,0.7849898580121704
2020-10-25,CIN,CLE,-210,180,0.6547884187082406
2020-10-25,HOU,GB,-145,125,0.5711159737417943
2020-10-25,WAS,DAL,-115,-105,0.5108342361863488
2020-10-25,ATL,DET,-105,-115,0.4891657638136511
2020-10-25,NO,CAR,270,-335,0.2597790385189609
2020-10-25,LV,TB,-200,175,0.6470588235294118
2020-10-25,NE,SF,138,-159,0.40632549967054693
2020-10-25,LAC,JAC,306,-382,0.23709737717175294
2020-10-25,DEN,KC,-340,280,0.745958429561201
2020-10-25,ARI,SEA,-185,165,0.6323766526926797
2020-10-26,LAR,CHI,240,-280,0.2852852852852853
2020-10-29,CAR,ATL,105,-125,0.4675324675324675
2020-11-01,CIN,TEN,-340,280,0.745958429561201
2020-11-01,CLE,LV,100,-120,0.4782608695652174
2020-11-01,DET,IND,-185,165,0.6323766526926797
2020-11-01,BAL,PIT,180,-210,0.3452115812917595
2020-11-01,BUF,NE,180,-210,0.3452115812917595
2020-11-01,GB,MIN,220,-260,0.3020134228187919
2020-11-01,KC,NYJ,1400,-3500,0.0641711229946524
2020-11-01,MIA,LAR,-175,155,0.6187175043327556
2020-11-01,DEN,LAC,-160,140,0.5962732919254659
2020-11-01,SEA,SF,-105,-115,0.4891657638136511
2020-11-01,CHI,NO,-245,205,0.6841382467383841
2020-11-01,PHI,DAL,354,-445,0.21245078548317936
2020-11-02,NYG,TB,-750,525,0.8465011286681716
2020-11-05,SF,GB,-280,233,0.7104541298384639
2020-11-08,JAC,HOU,-299,246,0.7216680385618818
2020-11-08,KC,CAR,395,-503,0.19496580823512294
2020-11-08,MIN,DET,155,-175,0.38128249566724437
2020-11-08,IND,BAL,-107,-111,0.49560960618167443
2020-11-08,ATL,DEN,190,-220,0.33402922755741127
2020-11-08,BUF,SEA,-166,144,0.6036003814973772
2020-11-08,WAS,NYG,135,-155,0.4117884537747275
2020-11-08,TEN,CHI,227,-273,0.2946962574365376
2020-11-08,LAC,LV,-120,102,0.5242214532871973
2020-11-08,DAL,PIT,-968,654,0.8723514113057447
2020-11-08,ARI,MIA,215,-256,0.30626290433585684
2020-11-08,TB,NO,152,-174,0.3845721985178531
2020-11-09,NYJ,NE,-415,333,0.7772443175674215
2020-11-12,TEN,IND,-120,100,0.5217391304347826
2020-11-15,CLE,HOU,190,-220,0.33402922755741127
2020-11-15,GB,JAC,650,-1000,0.12790697674418605
2020-11-15,NYG,PHI,-220,190,0.6659707724425887
2020-11-15,DET,WAS,120,-140,0.43795620437956206
2020-11-15,CAR,TB,-265,225,0.7023445463812437
2020-11-15,LV,DEN,160,-180,0.37433155080213903
2020-11-15,MIA,LAC,105,-125,0.4675324675324675
2020-11-15,ARI,BUF,130,-150,0.42016806722689076
2020-11-15,NO,SF,330,-410,0.22437307523097227
2020-11-15,PIT,CIN,255,-310,0.27143330023171136
2020-11-15,LAR,SEA,130,-150,0.42016806722689076
2020-11-15,NE,BAL,-320,260,0.7328244274809161
2020-11-16,CHI,MIN,-175,155,0.6187175043327556
2020-11-19,SEA,ARI,145,-164,0.3965154701111445
2020-11-22,NO,ATL,170,-190,0.361145703611457
2020-11-22,WAS,CIN,105,-125,0.4675324675324675
2020-11-22,HOU,NE,-135,115,0.552594002855783
2020-11-22,CLE,PHI,120,-140,0.43795620437956206
2020-11-22,CAR,DET,-140,120,0.562043795620438
2020-11-22,JAC,PIT,-550,425,0.8162544169611309
2020-11-22,BAL,TEN,215,-255,0.30649687027843725
2020-11-22,LAC,NYJ,370,-450,0.20637898686679174
2020-11-22,DEN,MIA,-210,180,0.6547884187082406
