date,season,location,team1,team2,team1_masseyrating,team2_masseyrating,result,prediction,accuracy
2023-08-27,2023,H,SHU,MNC,-1.7008825488428898,1.5315896222107068,0.0,0,1.0
2023-08-27,2023,H,NEW,LIV,1.5997702660249487,1.3163165863944974,0.0,1,0.0
2023-09-01,2023,A,WHU,LUT,-0.005646401696906063,-0.9755357594677777,1.0,1,1.0
2023-09-01,2023,H,LUT,WHU,-0.9755357594677777,-0.005646401696906063,0.0,0,1.0
2023-09-02,2023,A,TOT,BUR,0.5514806326471557,-1.5567750373861282,1.0,1,1.0
2023-09-02,2023,A,NEW,BRH,1.5997702660249487,0.45530791664800513,0.0,1,0.0
2023-09-02,2023,A,FUL,MNC,-0.6892702036061209,1.5315896222107068,0.0,0,1.0
2023-09-02,2023,A,EVE,SHU,-0.45995338155955806,-1.7008825488428898,0.5,1,0.5
2023-09-02,2023,H,BRH,NEW,0.45530791664800513,1.5997702660249487,1.0,0,0.0
2023-09-02,2023,A,BOU,BRE,-1.3435873566699135,0.2263085102701354,0.5,0,0.5
2023-09-02,2023,A,NTG,CHE,-0.22519929817047674,0.39648214780656216,1.0,0,0.0
2023-09-02,2023,H,SHU,EVE,-1.7008825488428898,-0.45995338155955806,0.5,0,0.5
2023-09-02,2023,H,MNC,FUL,1.5315896222107068,-0.6892702036061209,1.0,1,1.0
2023-09-02,2023,H,CHE,NTG,0.39648214780656216,-0.22519929817047674,0.0,1,0.0
2023-09-02,2023,H,BUR,TOT,-1.5567750373861282,0.5514806326471557,0.0,0,1.0
2023-09-02,2023,H,BRE,BOU,0.2263085102701354,-1.3435873566699135,0.5,1,0.5
2023-09-03,2023,A,AVA,LIV,0.8920735785193186,1.3163165863944974,0.0,0,1.0
2023-09-03,2023,H,CRY,WLV,-0.3262477811388006,-0.4057098937418827,1.0,1,1.0
2023-09-03,2023,H,ARS,MUN,1.1711383750383944,-0.4516599732792638,1.0,1,1.0
2023-09-03,2023,H,LIV,AVA,1.3163165863944974,0.8920735785193186,1.0,1,1.0
2023-09-03,2023,A,WLV,CRY,-0.4057098937418827,-0.3262477811388006,0.0,0,1.0
2023-09-03,2023,A,MUN,ARS,-0.4516599732792638,1.1711383750383944,0.0,0,1.0
2023-09-16,2023,A,LIV,WLV,1.3163165863944974,-0.4057098937418827,1.0,1,1.0
2023-09-16,2023,A,CRY,AVA,-0.3262477811388006,0.8920735785193186,0.0,0,1.0
