date,season,location,team1,team2,team1_colleyrating,team2_colleyrating,result,prediction,accuracy
2023-10-08,2023,H,WLV,AVA,1.0014527441074592,1.1895052261646033,0.5,0,0.5
2023-10-08,2023,H,ARS,MNC,1.3320217977540982,1.2748785681190578,1.0,1,1.0
2023-10-08,2023,A,LIV,BRH,1.3329442151049333,1.1705513725494523,0.5,1,0.5
2023-10-08,2023,A,NEW,WHU,1.2120751257298419,1.0264854455788088,0.5,1,0.5
2023-10-08,2023,A,MNC,ARS,1.2748785681190578,1.3320217977540982,0.0,0,1.0
2023-10-08,2023,A,AVA,WLV,1.1895052261646033,1.0014527441074592,0.5,1,0.5
2023-10-21,2023,A,MUN,SHU,1.07558756533776,0.75893311959993,1.0,1,1.0
2023-10-21,2023,A,WLV,BOU,1.0014527441074592,0.8832518150652464,1.0,1,1.0
2023-10-21,2023,A,BUR,BRE,0.7440976488545772,1.1225860816469648,0.0,0,1.0
2023-10-21,2023,A,BRH,MNC,1.1705513725494523,1.2748785681190578,0.0,0,1.0
2023-10-21,2023,A,CRY,NEW,1.0914452892782167,1.2120751257298419,0.0,0,1.0
2023-10-21,2023,H,LIV,EVE,1.3329442151049333,0.9321667371505551,1.0,1,1.0
2023-10-21,2023,H,BOU,WLV,0.8832518150652464,1.0014527441074592,0.0,0,1.0
2023-10-21,2023,H,BRE,BUR,1.1225860816469648,0.7440976488545772,1.0,1,1.0
2023-10-21,2023,H,NEW,CRY,1.2120751257298419,1.0914452892782167,1.0,1,1.0
2023-10-21,2023,H,NTG,LUT,1.0719110498062716,0.8460938951899134,0.5,1,0.5
2023-10-21,2023,H,CHE,ARS,1.094839190625209,1.3320217977540982,0.5,0,0.5
2023-10-21,2023,A,EVE,LIV,0.9321667371505551,1.3329442151049333,0.0,0,1.0
2023-10-21,2023,A,LUT,NTG,0.8460938951899134,1.0719110498062716,0.5,0,0.5
2023-10-21,2023,A,ARS,CHE,1.3320217977540982,1.094839190625209,0.5,1,0.5
2023-10-21,2023,H,MNC,BRH,1.2748785681190578,1.1705513725494523,1.0,1,1.0
2023-10-21,2023,H,SHU,MUN,0.75893311959993,1.07558756533776,0.0,0,1.0
2023-10-22,2023,H,AVA,WHU,1.1895052261646033,1.0264854455788088,1.0,1,1.0
2023-10-22,2023,A,WHU,AVA,1.0264854455788088,1.1895052261646033,0.0,0,1.0
2023-10-23,2023,A,FUL,TOT,1.02217513304525,1.3169979792918416,0.0,0,1.0
2023-10-23,2023,H,TOT,FUL,1.3169979792918416,1.02217513304525,1.0,1,1.0
2023-10-27,2023,A,TOT,CRY,1.3169979792918416,1.0914452892782167,1.0,1,1.0
2023-10-27,2023,H,CRY,TOT,1.0914452892782167,1.3169979792918416,0.0,0,1.0
2023-10-28,2023,A,BRE,CHE,1.1225860816469648,1.094839190625209,1.0,1,1.0
2023-10-28,2023,A,BUR,BOU,0.7440976488545772,0.8832518150652464,0.0,0,1.0
2023-10-28,2023,A,NEW,WLV,1.2120751257298419,1.0014527441074592,0.5,1,0.5
2023-10-28,2023,H,CHE,BRE,1.094839190625209,1.1225860816469648,0.0,0,1.0
2023-10-28,2023,H,ARS,SHU,1.3320217977540982,0.75893311959993,1.0,1,1.0
2023-10-28,2023,H,BOU,BUR,0.8832518150652464,0.7440976488545772,1.0,1,1.0
2023-10-28,2023,H,WLV,NEW,1.0014527441074592,1.2120751257298419,0.5,0,0.5
2023-10-28,2023,A,SHU,ARS,0.75893311959993,1.3320217977540982,0.0,0,1.0
